Client Algo.,Num. Client,Local Epoch,Test Score,Round
CQL-FL,4,2,100.0,187
CQL-FL,4,2,100.0,188
CQL-FL,4,2,100.0,189
CQL-FL,4,2,100.0,190
CQL-FL,4,2,100.0,191
CQL-FL,4,2,100.0,192
CQL-FL,4,2,100.0,193
CQL-FL,4,2,100.0,194
CQL-FL,4,2,100.0,195
CQL-FL,4,2,100.0,196
CQL-FL,4,2,100.0,197
CQL-FL,4,2,100.0,198
CQL-FL,4,2,100.0,199
CQL-FL,4,2,100.0,200
CQL-FL,4,2,100.0,201
CQL-FL,4,2,100.0,202
CQL-FL,4,2,100.0,203
CQL-FL,4,2,100.0,204
CQL-FL,4,2,100.0,205
CQL-FL,4,2,100.0,206
CQL-FL,4,2,100.0,207
CQL-FL,4,2,100.0,208
CQL-FL,4,2,100.0,209
CQL-FL,4,2,100.0,210
CQL-FL,4,2,100.0,211
CQL-FL,4,2,100.0,212
CQL-FL,4,2,100.0,213
CQL-FL,4,2,100.0,214
CQL-FL,4,2,100.0,215
CQL-FL,4,2,100.0,216
CQL-FL,4,2,100.0,217
CQL-FL,4,2,100.0,218
CQL-FL,4,2,100.0,219
CQL-FL,4,2,100.0,220
CQL-FL,4,2,100.0,221
CQL-FL,4,2,100.0,222
CQL-FL,4,2,100.0,223
CQL-FL,4,2,100.0,224
CQL-FL,4,2,100.0,225
CQL-FL,4,2,100.0,226
CQL-FL,4,2,100.0,227
CQL-FL,4,2,100.0,228
CQL-FL,4,2,100.0,229
CQL-FL,4,2,100.0,230
CQL-FL,4,2,100.0,231
CQL-FL,4,2,100.0,232
CQL-FL,4,2,100.0,233
CQL-FL,4,2,100.0,234
CQL-FL,4,2,100.0,235
CQL-FL,4,2,100.0,236
CQL-FL,4,2,100.0,237
CQL-FL,4,2,100.0,238
CQL-FL,4,2,100.0,239
CQL-FL,4,2,100.0,240
CQL-FL,4,2,100.0,241
CQL-FL,4,2,100.0,242
CQL-FL,4,2,100.0,243
CQL-FL,4,2,100.0,244
CQL-FL,4,2,100.0,245
CQL-FL,4,2,100.0,246
CQL-FL,4,2,100.0,247
CQL-FL,4,2,100.0,248
CQL-FL,4,2,100.0,249
CQL-FL,4,2,100.0,250
CQL-FL,4,2,100.0,251
CQL-FL,4,2,100.0,252
CQL-FL,4,2,100.0,253
CQL-FL,4,2,100.0,254
CQL-FL,4,2,100.0,255
CQL-FL,4,2,100.0,256
CQL-FL,4,2,100.0,257
CQL-FL,4,2,100.0,258
CQL-FL,4,2,100.0,259
CQL-FL,4,2,100.0,260
CQL-FL,4,2,100.0,261
CQL-FL,4,2,100.0,262
CQL-FL,4,2,100.0,263
CQL-FL,4,2,100.0,264
CQL-FL,4,2,100.0,265
CQL-FL,4,2,100.0,266
CQL-FL,4,2,100.0,267
CQL-FL,4,2,100.0,268
CQL-FL,4,2,100.0,269
CQL-FL,4,2,100.0,270
CQL-FL,4,2,100.0,271
CQL-FL,4,2,100.0,272
CQL-FL,4,2,100.0,273
CQL-FL,4,2,100.0,274
CQL-FL,4,2,100.0,275
CQL-FL,4,2,100.0,276
CQL-FL,4,2,100.0,277
CQL-FL,4,2,100.0,278
CQL-FL,4,2,100.0,279
CQL-FL,4,2,100.0,280
CQL-FL,4,2,100.0,281
CQL-FL,4,2,100.0,282
CQL-FL,4,2,100.0,283
CQL-FL,4,2,100.0,284
CQL-FL,4,2,100.0,285
CQL-FL,4,2,100.0,286
CQL-FL,4,2,100.0,287
CQL-FL,4,2,100.0,288
CQL-FL,4,2,100.0,289
CQL-FL,4,2,100.0,290
CQL-FL,4,2,100.0,291
CQL-FL,4,2,100.0,292
CQL-FL,4,2,100.0,293
CQL-FL,4,2,100.0,294
CQL-FL,4,2,100.0,295
CQL-FL,4,2,100.0,296
CQL-FL,4,2,100.0,297
CQL-FL,4,2,100.0,298
CQL-FL,4,2,100.0,299
CQL-FL,4,2,100.0,300
CQL-FL,4,2,100.0,301
CQL-FL,4,2,100.0,302
CQL-FL,4,2,100.0,303
CQL-FL,4,2,100.0,304
CQL-FL,4,2,100.0,305
CQL-FL,4,2,100.0,306
CQL-FL,4,2,100.0,307
CQL-FL,4,2,100.0,308
CQL-FL,4,2,100.0,309
CQL-FL,4,2,100.0,310
CQL-FL,4,2,100.0,311
CQL-FL,4,2,100.0,312
CQL-FL,4,2,100.0,313
CQL-FL,4,2,100.0,314
CQL-FL,4,2,100.0,315
CQL-FL,4,2,100.0,316
CQL-FL,4,2,100.0,317
CQL-FL,4,2,100.0,318
CQL-FL,4,2,100.0,319
CQL-FL,4,2,100.0,320
CQL-FL,4,2,100.0,321
CQL-FL,4,2,100.0,322
CQL-FL,4,2,100.0,323
CQL-FL,4,2,100.0,324
CQL-FL,4,2,100.0,325
CQL-FL,4,2,100.0,326
CQL-FL,4,2,100.0,327
CQL-FL,4,2,100.0,328
CQL-FL,4,2,100.0,329
CQL-FL,4,2,100.0,330
CQL-FL,4,2,100.0,331
CQL-FL,4,2,100.0,332
CQL-FL,4,2,100.0,333
CQL-FL,4,2,100.0,334
CQL-FL,4,2,100.0,335
CQL-FL,4,2,100.0,336
CQL-FL,4,2,100.0,337
CQL-FL,4,2,100.0,338
CQL-FL,4,2,100.0,339
CQL-FL,4,2,100.0,340
CQL-FL,4,2,100.0,341
CQL-FL,4,2,100.0,342
CQL-FL,4,2,100.0,343
CQL-FL,4,2,100.0,344
CQL-FL,4,2,100.0,345
CQL-FL,4,2,100.0,346
CQL-FL,4,2,100.0,347
CQL-FL,4,2,100.0,348
CQL-FL,4,2,100.0,349
CQL-FL,4,2,100.0,350
CQL-FL,4,2,100.0,351
CQL-FL,4,2,100.0,352
CQL-FL,4,2,100.0,353
CQL-FL,4,2,100.0,354
CQL-FL,4,2,100.0,355
CQL-FL,4,2,100.0,356
CQL-FL,4,2,100.0,357
CQL-FL,4,2,100.0,358
CQL-FL,4,2,100.0,359
CQL-FL,4,2,100.0,360
CQL-FL,4,2,100.0,361
CQL-FL,4,2,100.0,362
CQL-FL,4,2,100.0,363
CQL-FL,4,2,100.0,364
CQL-FL,4,2,100.0,365
CQL-FL,4,2,100.0,366
CQL-FL,4,2,100.0,367
CQL-FL,4,2,100.0,368
CQL-FL,4,2,100.0,369
CQL-FL,4,2,100.0,370
CQL-FL,4,2,100.0,371
CQL-FL,4,2,100.0,372
CQL-FL,4,2,100.0,373
CQL-FL,4,2,100.0,374
CQL-FL,4,2,100.0,375
CQL-FL,4,2,100.0,376
CQL-FL,4,2,100.0,377
CQL-FL,4,2,100.0,378
CQL-FL,4,2,100.0,379
CQL-FL,4,2,100.0,380
CQL-FL,4,2,100.0,381
CQL-FL,4,2,100.0,382
CQL-FL,4,2,100.0,383
CQL-FL,4,2,100.0,384
CQL-FL,4,2,100.0,385
CQL-FL,4,2,100.0,386
CQL-FL,4,2,100.0,387
CQL-FL,4,2,100.0,388
CQL-FL,4,2,100.0,389
CQL-FL,4,2,100.0,390
CQL-FL,4,2,100.0,391
CQL-FL,4,2,100.0,392
CQL-FL,4,2,100.0,393
CQL-FL,4,2,100.0,394
CQL-FL,4,2,100.0,395
CQL-FL,4,2,100.0,396
CQL-FL,4,2,100.0,397
CQL-FL,4,2,100.0,398
CQL-FL,4,2,100.0,399
CQL-FL,4,2,100.0,400
CQL-FL,4,2,100.0,401
CQL-FL,4,2,100.0,402
CQL-FL,4,2,100.0,403
CQL-FL,4,2,100.0,404
CQL-FL,4,2,100.0,405
CQL-FL,4,2,100.0,406
CQL-FL,4,2,100.0,407
CQL-FL,4,2,100.0,408
CQL-FL,4,2,100.0,409
CQL-FL,4,2,100.0,410
CQL-FL,4,2,100.0,411
CQL-FL,4,2,100.0,412
CQL-FL,4,2,100.0,413
CQL-FL,4,2,100.0,414
CQL-FL,4,2,100.0,415
CQL-FL,4,2,100.0,416
CQL-FL,4,2,100.0,417
CQL-FL,4,2,100.0,418
CQL-FL,4,2,100.0,419
CQL-FL,4,2,100.0,420
CQL-FL,4,2,100.0,421
CQL-FL,4,2,100.0,422
CQL-FL,4,2,100.0,423
CQL-FL,4,2,100.0,424
CQL-FL,4,2,100.0,425
CQL-FL,4,2,100.0,426
CQL-FL,4,2,100.0,427
CQL-FL,4,2,100.0,428
CQL-FL,4,2,100.0,429
CQL-FL,4,2,100.0,430
CQL-FL,4,2,100.0,431
CQL-FL,4,2,100.0,432
CQL-FL,4,2,100.0,433
CQL-FL,4,2,100.0,434
CQL-FL,4,2,100.0,435
CQL-FL,4,2,100.0,436
CQL-FL,4,2,100.0,437
CQL-FL,4,2,100.0,438
CQL-FL,4,2,100.0,439
CQL-FL,4,2,100.0,440
CQL-FL,4,2,100.0,441
CQL-FL,4,2,100.0,442
CQL-FL,4,2,100.0,443
CQL-FL,4,2,100.0,444
CQL-FL,4,2,100.0,445
CQL-FL,4,2,100.0,446
CQL-FL,4,2,100.0,447
CQL-FL,4,2,100.0,448
CQL-FL,4,2,100.0,449
CQL-FL,4,2,100.0,450
CQL-FL,4,2,100.0,451
CQL-FL,4,2,100.0,452
CQL-FL,4,2,100.0,453
CQL-FL,4,2,100.0,454
CQL-FL,4,2,100.0,455
CQL-FL,4,2,100.0,456
CQL-FL,4,2,100.0,457
CQL-FL,4,2,100.0,458
CQL-FL,4,2,100.0,459
CQL-FL,4,2,100.0,460
CQL-FL,4,2,100.0,461
CQL-FL,4,2,100.0,462
CQL-FL,4,2,100.0,463
CQL-FL,4,2,100.0,464
CQL-FL,4,2,100.0,465
CQL-FL,4,2,100.0,466
CQL-FL,4,2,100.0,467
CQL-FL,4,2,100.0,468
CQL-FL,4,2,100.0,469
CQL-FL,4,2,100.0,470
CQL-FL,4,2,100.0,471
CQL-FL,4,2,100.0,472
CQL-FL,4,2,100.0,473
CQL-FL,4,2,100.0,474
CQL-FL,4,2,100.0,475
CQL-FL,4,2,100.0,476
CQL-FL,4,2,100.0,477
CQL-FL,4,2,100.0,478
CQL-FL,4,2,100.0,479
CQL-FL,4,2,100.0,480
CQL-FL,4,2,100.0,481
CQL-FL,4,2,100.0,482
CQL-FL,4,2,100.0,483
CQL-FL,4,2,100.0,484
CQL-FL,4,2,100.0,485
CQL-FL,4,2,100.0,486
CQL-FL,4,2,100.0,487
CQL-FL,4,2,100.0,488
CQL-FL,4,2,100.0,489
CQL-FL,4,2,100.0,490
CQL-FL,4,2,100.0,491
CQL-FL,4,2,100.0,492
CQL-FL,4,2,100.0,493
CQL-FL,4,2,100.0,494
CQL-FL,4,2,100.0,495
CQL-FL,4,2,100.0,496
CQL-FL,4,2,100.0,497
CQL-FL,4,2,100.0,498
CQL-FL,4,2,100.0,499
CQL-FL,4,2,100.0,500
CQL-FL,4,2,100.0,501
CQL-FL,4,2,100.0,502
CQL-FL,4,2,100.0,503
CQL-FL,4,2,100.0,504
CQL-FL,4,2,100.0,505
CQL-FL,4,2,100.0,506
CQL-FL,4,2,100.0,507
CQL-FL,4,2,100.0,508
CQL-FL,4,2,100.0,509
CQL-FL,4,2,100.0,510
CQL-FL,4,2,100.0,511
CQL-FL,4,2,100.0,512
CQL-FL,4,2,100.0,513
